VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
2,3/1/16 20:42,3/1/16 21:05,1,4.77,-73.9879303,40.73789215,1,-74.00871277,40.70429611,1,18.5,0.5,0.5,2,0,21.8,3/1/16,3/1/16 0:00,0,39,52
2,2/3/16 15:40,2/3/16 16:20,1,3.12,-73.98773956,40.74138641,1,-73.95735168,40.77849197,1,24,0,0.5,6.2,0,31,2/3/16,2/3/16 0:00,0.73,42,59
2,3/13/16 10:47,3/13/16 10:53,1,0.98,-73.99099731,40.7489357,1,-74.00382233,40.75317383,2,6,0,0.5,0,0,6.8,3/13/16,3/13/16 0:00,0,50,62
2,3/13/16 10:38,3/13/16 10:47,1,1.25,-73.98108673,40.7551384,1,-73.99224091,40.7491188,1,7.5,0,0.5,1.66,0,9.96,3/13/16,3/13/16 0:00,0,50,62
1,1/9/16 2:26,1/9/16 2:30,1,0.4,-73.9872818,40.71840286,1,-73.9899826,40.71526718,1,4.5,0.5,0.5,1.15,0,6.95,1/9/16,1/9/16 0:00,0,40,47
2,1/2/16 12:19,1/2/16 12:24,3,0.86,-73.97598267,40.78632736,1,-73.9793396,40.77665329,1,5,0,0.5,1,0,6.8,1/2/16,1/2/16 0:00,0,32,40
1,3/4/16 13:49,3/4/16 13:55,1,0.9,-74.00452423,40.73780441,1,-73.99329376,40.74577332,1,6,0,0.5,1,0,7.8,3/4/16,3/4/16 0:00,0.11,30,39
2,3/6/16 9:20,3/6/16 9:38,1,10.64,-73.97483826,40.75811386,1,-73.87097168,40.77425385,1,30,0,0.5,9.08,5.54,45.42,3/6/16,3/6/16 0:00,0,32,44
2,3/11/16 19:16,3/11/16 19:34,1,2.6,-73.90461731,40.81837082,1,-73.8968277,40.84555817,2,13,1,0.5,0,0,14.8,3/11/16,3/11/16 0:00,0.06,48,68
2,2/1/16 17:15,2/1/16 17:21,3,1.01,-74.01599884,40.71132278,1,-74.02003479,40.72386169,2,6,1,0.5,0,0,7.8,2/1/16,2/1/16 0:00,0.01,44,59
2,3/4/16 13:58,3/4/16 14:37,3,4.39,-73.970047,40.76360321,1,-73.99598694,40.76910782,1,25,0,0.5,1,0,26.8,3/4/16,3/4/16 0:00,0.11,30,39
1,1/2/16 18:26,1/2/16 18:27,1,0,-73.98805237,40.75372696,1,-73.98808289,40.75369644,2,2.5,0,0.5,0,0,3.3,1/2/16,1/2/16 0:00,0,32,40
1,1/10/16 19:34,1/10/16 19:48,2,7.2,-73.95410919,40.77289581,1,-73.93922424,40.85404587,1,21.5,0,0.5,6.65,0,28.95,1/10/16,1/10/16 0:00,1.8,40,59
2,3/12/16 18:14,3/12/16 18:31,1,2.79,-73.96035004,40.78163147,1,-73.98670197,40.74884033,1,13,0,0.5,1.7,0,15.5,3/12/16,3/12/16 0:00,0,40,59
1,2/4/16 18:17,2/4/16 18:24,1,1.1,-73.98757935,40.75659561,1,-73.98618317,40.74452209,1,6.5,1,0.5,1.5,0,9.8,2/4/16,2/4/16 0:00,0,44,59
2,2/2/16 19:41,2/2/16 19:43,2,0.68,-73.98165131,40.73704147,1,-73.98857117,40.73303223,1,4,1,0.5,1.16,0,6.96,2/2/16,2/2/16 0:00,0,38,50
2,2/6/16 23:38,2/6/16 23:44,1,1.08,-73.99191284,40.73836517,1,-73.9914093,40.72703171,1,5.5,0.5,0.5,1.36,0,8.16,2/6/16,2/6/16 0:00,0,30,40
1,3/4/16 9:33,3/4/16 9:47,1,1.6,-73.98233032,40.77732086,1,-73.97491455,40.75954437,1,10,0,0.5,1,0,11.8,3/4/16,3/4/16 0:00,0.11,30,39
2,3/11/16 13:41,3/11/16 14:08,1,2.29,-73.96456146,40.77598572,1,-73.97988892,40.7533989,1,16.5,0,0.5,3.46,0,20.76,3/11/16,3/11/16 0:00,0.06,48,68
2,3/15/16 13:43,3/15/16 13:56,6,3.73,-73.9543457,40.77918243,1,-73.96807098,40.75126648,2,13.5,0,0.5,0,0,14.3,3/15/16,3/15/16 0:00,0,44,57
1,1/2/16 10:17,1/2/16 10:24,1,1.5,-73.99157715,40.74966431,1,0,0,2,7.5,0,0.5,0,0,8.3,1/2/16,1/2/16 0:00,0,32,40
